Fecha,Precio_Apertura,Precio_Máximo,Precio_Mínimo,Precio_Cierre,Volumen
21/3/16,413417999,413417999,410381012,413307007,61655400
22/3/16,413131989,418375000,412531006,418088989,66813300
23/3/16,418161011,419268005,417364014,418040985,61444200
24/3/16,418424011,418679993,415485992,416394012,68346704
25/3/16,416507996,418079987,415558014,417177002,52560000
26/3/16,417364990,418987000,416259003,417945007,44650400
27/3/16,418140015,428796997,417710999,426765015,71229400
28/3/16,426548004,426856995,423292999,424230988,68522800
29/3/16,424303986,426203003,412681000,416515991,75411504
30/3/16,416834015,416834015,412496002,414816010,66034100
31/3/16,415256989,418368988,415256989,416729004,60215200
1/4/16,416760010,418173004,415830994,417959991,51235700
2/4/16,418421997,422080994,418421997,420872986,45681200
3/4/16,421173004,421579987,419696991,420903992,38053700
4/4/16,421299011,422342987,419601013,421444000,50634300
5/4/16,421016998,424256989,420614014,424029999,60718000
6/4/16,424283997,424527008,422729004,423412994,59091000
7/4/16,423619995,423657013,420518005,422744995,57858600
8/4/16,422907013,425360992,419635010,420348999,63454700
9/4/16,420811005,420890991,416515015,419411011,49792700
10/4/16,419592010,422434998,419256989,421563995,73478600
11/4/16,421872009,422739014,420532990,422483002,50747500
12/4/16,422842987,427277008,422842987,425190002,70728800
13/4/16,425631989,426657990,422915985,423734009,69060400
14/4/16,423934998,425371002,423013000,424282013,45281000
15/4/16,424427002,429928009,424427002,429713013,54801500
16/4/16,429575012,432625000,428984009,430571991,39392800
17/4/16,430635986,431371002,426079010,427398987,52125900
18/4/16,427610992,429273987,427085999,428591003,55670900
19/4/16,428703003,436019989,428104004,435509003,52810500
20/4/16,435324005,443053986,434406006,441389008,72890096
21/4/16,441415985,450548004,440951996,449424988,68204704
22/4/16,449687988,449809998,444149994,445737000,58804400
23/4/16,445860992,450282013,444330994,450282013,50485400
24/4/16,450559998,460145996,448928009,458554993,68198400
25/4/16,459121002,466619995,453592010,461425995,87091800
26/4/16,461648010,467964996,461621002,466088989,78971904
27/4/16,466261993,467079010,444134003,444687012,93564896
28/4/16,445037994,449550995,436649994,449010986,74064704
29/4/16,449407990,455384003,446016998,455096985,49258500
30/4/16,455178009,455587006,447696991,448317993,69322600
1/5/16,448484009,452479004,447927002,451875000,40660100
2/5/16,451933014,452445007,441776001,444669006,92127000
3/5/16,444726990,451096985,442617004,450303986,59366400
4/5/16,450183014,450377991,445630005,446721985,50407300
5/5/16,446710999,448506012,445882996,447976013,50440800
6/5/16,447941986,461375000,447067993,459602997,72796800
7/5/16,459639008,460674988,457324005,458536011,38364500
8/5/16,458428986,459416992,455983002,458548004,40315000
9/5/16,458205994,462480988,456531006,460483002,55493100
10/5/16,460518005,461928986,448954010,450894989,58956100
11/5/16,450864014,454575989,450864014,452727997,50605200
12/5/16,452446991,454949005,449250000,454765991,59849300
13/5/16,454850006,457054993,453453003,455670013,60845000
14/5/16,455822998,456835999,454786011,455670990,37209000
15/5/16,455759003,458691986,455459015,457567993,28514000
16/5/16,457585999,458200012,452945007,454162994,59171500
17/5/16,454009003,455071991,453605011,453782990,64100300
18/5/16,453691010,455997986,453299011,454618988,86850096
19/5/16,454523987,454632996,438714996,438714996,96027400
20/5/16,437792999,444053986,437389008,442675995,81987904
21/5/16,442966003,443778015,441705994,443187988,42762300
22/5/16,443217987,443427002,439035004,439322998,39657600
23/5/16,439347992,444345001,438822998,444154999,50582500
24/5/16,444290985,447100006,443929993,445980988,65783100
25/5/16,446062012,450298004,446062012,449598999,65231000
26/5/16,449671997,453644012,447895996,453384003,65203800
27/5/16,453520996,478148987,453520996,473463989,164780992
28/5/16,473028992,533473022,472699005,530039978,181199008
29/5/16,527476990,553960022,512179016,526232971,148736992
30/5/16,528471008,544348999,522963013,533864014,87958704
31/5/16,534190979,546617981,520661987,531385986,138450000
1/6/16,531106995,543080017,525635986,536919983,86061800
2/6/16,536515015,540351990,533078003,537971985,60378200
3/6/16,537682007,574638000,536919983,569193970,122020000
4/6/16,569705017,590132019,564237976,572726990,94925296
5/6/16,573307983,582807983,569177979,574976990,68874096
6/6/16,574601990,586469971,574601990,585536987,72138896
7/6/16,585445007,590258972,567513977,576596985,107770000
8/6/16,577166992,582838989,573130005,581645020,80265800
9/6/16,582203003,582203003,570950989,574630005,71301000
10/6/16,575836975,579127014,573325012,577469971,66991900
11/6/16,578674011,607116028,578674011,606726990,82357000
12/6/16,609684021,684843994,607039001,672783997,277084992
13/6/16,671653992,716004028,664487000,704375977,243295008
14/6/16,704504028,704504028,662804016,685559021,186694000
15/6/16,685684998,696302979,672560974,694468994,99223800
16/6/16,696523010,773721985,696523010,766307983,271633984
17/6/16,768487000,775356018,716556030,748908997,363320992
18/6/16,748755981,777989990,733929016,756226990,252718000
19/6/16,756687988,766620972,745627991,763781006,136184992
20/6/16,763927002,764083984,732726990,737226013,174511008
21/6/16,735882996,735882996,639070007,666651978,309944000
22/6/16,665914978,678669983,587482971,596116028,266392992
23/6/16,597442993,629327026,558138977,623976990,253462000
